CMDLINE C:\Users\Muping\anaconda3\python.exe main.py
MEM 1147.433594 1676390890.8391
MEM 1147.683594 1676390890.9487
MEM 1148.007812 1676390891.0584
MEM 1148.007812 1676390891.1680
MEM 1148.187500 1676390891.2796
MEM 1148.402344 1676390891.3893
MEM 1148.402344 1676390891.5009
MEM 1148.601562 1676390891.6090
MEM 1148.851562 1676390891.7206
MEM 1148.851562 1676390891.8302
MEM 1148.851562 1676390891.9409
MEM 1149.101562 1676390892.0505
MEM 1149.179688 1676390892.1611
MEM 1149.433594 1676390892.2708
MEM 1149.605469 1676390892.3814
MEM 1149.921875 1676390892.4930
MEM 1149.957031 1676390892.6027
MEM 1150.019531 1676390892.7113
MEM 1150.523438 1676390892.8219
MEM 1150.617188 1676390892.9335
MEM 1150.617188 1676390893.0402
MEM 1150.804688 1676390893.1498
MEM 1150.925781 1676390893.2604
MEM 1150.925781 1676390893.3701
MEM 1151.089844 1676390893.4797
MEM 1151.402344 1676390893.5903
MEM 1151.656250 1676390893.7000
MEM 1151.718750 1676390893.8086
MEM 1152.031250 1676390893.9182
MEM 1152.031250 1676390894.0299
MEM 1152.031250 1676390894.1375
MEM 1152.218750 1676390894.2481
MEM 1152.570312 1676390894.3588
MEM 1152.574219 1676390894.4694
MEM 1152.820312 1676390894.5810
MEM 1153.230469 1676390894.6927
MEM 1153.230469 1676390894.8043
MEM 1153.355469 1676390894.9149
MEM 1153.605469 1676390895.0245
MEM 1153.605469 1676390895.1352
MEM 1153.605469 1676390895.2448
MEM 1154.109375 1676390895.3554
MEM 1154.179688 1676390895.4651
MEM 1154.179688 1676390895.5728
MEM 1154.394531 1676390895.6824
MEM 1154.675781 1676390895.7940
MEM 1154.675781 1676390895.9027
MEM 1154.800781 1676390896.0143
MEM 1155.078125 1676390896.1249
MEM 1155.078125 1676390896.2356
MEM 1155.335938 1676390896.3462
MEM 1155.847656 1676390896.4548
MEM 1155.886719 1676390896.5655
MEM 1155.886719 1676390896.6761
MEM 1156.398438 1676390896.7867
MEM 1156.566406 1676390896.8983
MEM 1156.566406 1676390897.0080
MEM 1156.652344 1676390897.1186
MEM 1156.878906 1676390897.2272
MEM 1156.878906 1676390897.3369
MEM 1156.910156 1676390897.4459
MEM 1157.304688 1676390897.5576
MEM 1157.449219 1676390897.6682
MEM 1157.703125 1676390897.7788
MEM 1157.972656 1676390897.8895
MEM 1158.367188 1676390898.0001
MEM 1158.367188 1676390898.1087
MEM 1158.730469 1676390898.2194
MEM 1159.347656 1676390898.3260
MEM 1159.351562 1676390898.4366
MEM 1159.402344 1676390898.5453
MEM 1159.671875 1676390898.6549
MEM 1159.707031 1676390898.7665
MEM 1159.960938 1676390898.8781
MEM 1160.308594 1676390898.9888
MEM 1160.371094 1676390899.0964
MEM 1160.371094 1676390899.2070
MEM 1160.496094 1676390899.3187
